method,frame,mask_path,gt_path,precision,recall,f1,miou,iou_fg,hd95_px,boundary_f1,area_ratio,component_count,temporal_iou,outside_nonblack_ratio,leakage_energy
CLIPSeg_P2,KongQueZhuYu_0000,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/CLIPSeg_P2/mask_KongQueZhuYu_0000.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0000.png,0.9372749545535115,0.8369096821878824,0.8842534966132478,0.8641499157970693,0.7925218622054138,198.099609375,0.07025786698119015,0.21017300829475308,2,,0.017241338531835675,0.01318311149691358
CLIPSeg_P2,KongQueZhuYu_0025,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/CLIPSeg_P2/mask_KongQueZhuYu_0025.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0025.png,0.9093289025270908,0.758031581601904,0.8268158358556934,0.7768945160326441,0.7047621857892651,529.218994140625,0.05466869306518738,0.2913308979552469,1,0.4997642012841295,0.04060632130811146,0.02641529224537037
CLIPSeg_P2,KongQueZhuYu_0050,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/CLIPSeg_P2/mask_KongQueZhuYu_0050.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0050.png,0.9183615489668794,0.9319946867819157,0.9251278944517146,0.9074905943283146,0.8606864850956504,155.31658935546875,0.057072268341951934,0.2397680362654321,1,0.5455576961468305,0.025629546443676862,0.019574291087962964
CLIPSeg_P2,KongQueZhuYu_0075,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/CLIPSeg_P2/mask_KongQueZhuYu_0075.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0075.png,0.9482898348073213,0.8950839550136357,0.9209190458555956,0.8996859078436739,0.8534290613865811,526.6735229492188,0.049223634478579845,0.252456958912037,1,0.29398604120320376,0.01782108147697068,0.013054591049382716
CLIPSeg_P2,KongQueZhuYu_0100,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/CLIPSeg_P2/mask_KongQueZhuYu_0100.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0100.png,0.9609516472742189,0.9354179372841472,0.9480128926792406,0.929475249830614,0.901163983932917,108.90802764892578,0.09141074856994122,0.28921585648148146,1,0.3637416630065294,0.016067108892947175,0.011293402777777777
CLIPSeg_P2,XianKeLai1_0000,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/CLIPSeg_P2/mask_XianKeLai1_0000.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_XianKeLai1_0000.png,0.9207237933127655,0.9272623340740731,0.9239814963676009,0.91161131357072,0.8587040959318495,249.1788330078125,0.10414266545995521,0.1926564911265432,2,0.42908599955234267,0.018885912872046415,0.015273075810185185
DeepLabV3PlusLite_fewshot_seqcv,KongQueZhuYu_0000,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/DeepLabV3PlusLite_fewshot_seqcv/mask_KongQueZhuYu_0000.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0000.png,0.4388957246590299,0.06486036847499663,0.113018735898095,0.4082751096036504,0.059893936441327324,525.7551879882812,0.03040250303062661,0.03478431230709877,13,,0.025525840642577527,0.019517626350308643
DeepLabV3PlusLite_fewshot_seqcv,KongQueZhuYu_0025,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/DeepLabV3PlusLite_fewshot_seqcv/mask_KongQueZhuYu_0025.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0025.png,0.9100168129039038,0.11950372458397916,0.21126416543650264,0.39633629768203926,0.11810808580801824,350.417236328125,0.0036775268631845082,0.045893614969135806,12,0.03171103611277708,0.006348218493771043,0.004129653742283951
DeepLabV3PlusLite_fewshot_seqcv,KongQueZhuYu_0050,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/DeepLabV3PlusLite_fewshot_seqcv/mask_KongQueZhuYu_0050.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0050.png,0.9499806165618837,0.1438054215032243,0.24979723315218016,0.46573663762143047,0.14272473903242325,518.38916015625,0.06055147202763952,0.03576449170524691,4,0.08789336057463731,0.0023423148378651816,0.001788917824074074
DeepLabV3PlusLite_fewshot_seqcv,KongQueZhuYu_0075,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/DeepLabV3PlusLite_fewshot_seqcv/mask_KongQueZhuYu_0075.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0075.png,0.9686947955070285,0.40067840158669343,0.5668799171954882,0.6060701620390038,0.3955564673172017,386.1351318359375,0.05417022545845315,0.11063018422067901,7,0.08916828946034748,0.004727820340852048,0.0034633005401234567
DeepLabV3PlusLite_fewshot_seqcv,KongQueZhuYu_0100,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/DeepLabV3PlusLite_fewshot_seqcv/mask_KongQueZhuYu_0100.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0100.png,0.7463040015146383,0.40948110924043757,0.5288135095824934,0.5563050558526603,0.35944695864656967,393.22625732421875,0.05080629847528189,0.16301818094135803,17,0.1961881121589894,0.058838633719419414,0.04135706018518519
DeepLabV3PlusLite_fewshot_seqcv,XianKeLai1_0000,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/DeepLabV3PlusLite_fewshot_seqcv/mask_XianKeLai1_0000.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_XianKeLai1_0000.png,0.9154351764848692,0.7699649965778073,0.8364221788924247,0.8256366307321881,0.7188364746384209,269.9031677246094,0.13406458826812734,0.16089916087962963,3,0.21791399306885587,0.01682499718979596,0.013606409143518518
Florence2_RES_P2,KongQueZhuYu_0000,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/Florence2_RES_P2/mask_KongQueZhuYu_0000.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0000.png,0.9132193945402346,0.9700735075297711,0.9407882759310999,0.9254750268056305,0.8881966225950716,121.28517150878906,0.204696854101619,0.2500315875771605,1,,0.028377269739295434,0.021697892554012346
